Symbol,MissingData
BCC/USDT,last_price,open_price,average_volume
VEN/USDT,last_price,open_price,average_volume
PAX/USDT,last_price,open_price,average_volume
BCHABC/USDT,last_price,open_price,average_volume
BSV/USDT,last_price,open_price,average_volume
WAVES/USDT,last_price,open_price,average_volume
BTT/USDT,last_price,open_price,average_volume
USDS/USDT,last_price,open_price,average_volume
XMR/USDT,last_price,open_price,average_volume
NANO/USDT,last_price,open_price,average_volume
OMG/USDT,last_price,open_price,average_volume
MITH/USDT,last_price,open_price,average_volume
MATIC/USDT,last_price,open_price,average_volume
USDSB/USDT,last_price,open_price,average_volume
GTO/USDT,last_price,open_price,average_volume
ERD/USDT,last_price,open_price,average_volume
NPXS/USDT,last_price,open_price,average_volume
COCOS/USDT,last_price,open_price,average_volume
TOMO/USDT,last_price,open_price,average_volume
PERL/USDT,last_price,open_price,average_volume
MFT/USDT,last_price,open_price,average_volume
KEY/USDT,last_price,open_price,average_volume
STORM/USDT,last_price,open_price,average_volume
DOCK/USDT,last_price,open_price,average_volume
BUSD/USDT,last_price,open_price,average_volume
BEAM/USDT,last_price,open_price,average_volume
REN/USDT,last_price,open_price,average_volume
HC/USDT,last_price,open_price,average_volume
MCO/USDT,last_price,open_price,average_volume
USDT/RUB,last_price,open_price,average_volume
DREP/USDT,last_price,open_price,average_volume
BULL/USDT,last_price,open_price,average_volume
BEAR/USDT,last_price,open_price,average_volume
ETHBULL/USDT,last_price,open_price,average_volume
ETHBEAR/USDT,last_price,open_price,average_volume
TCT/USDT,last_price,open_price,average_volume
BTS/USDT,last_price,open_price,average_volume
EOSBULL/USDT,last_price,open_price,average_volume
EOSBEAR/USDT,last_price,open_price,average_volume
XRPBULL/USDT,last_price,open_price,average_volume
XRPBEAR/USDT,last_price,open_price,average_volume
STRAT/USDT,last_price,open_price,average_volume
AION/USDT,last_price,open_price,average_volume
BNBBULL/USDT,last_price,open_price,average_volume
BNBBEAR/USDT,last_price,open_price,average_volume
WTC/USDT,last_price,open_price,average_volume
XZC/USDT,last_price,open_price,average_volume
USDT/IDRT,last_price,open_price,average_volume
BTCUP/USDT,last_price,open_price,average_volume
BTCDOWN/USDT,last_price,open_price,average_volume
GXS/USDT,last_price,open_price,average_volume
LEND/USDT,last_price,open_price,average_volume
REP/USDT,last_price,open_price,average_volume
PNT/USDT,last_price,open_price,average_volume
USDT/BIDR,last_price,open_price,average_volume
BKRW/USDT,last_price,open_price,average_volume
ETHUP/USDT,last_price,open_price,average_volume
ETHDOWN/USDT,last_price,open_price,average_volume
ADAUP/USDT,last_price,open_price,average_volume
ADADOWN/USDT,last_price,open_price,average_volume
LINKUP/USDT,last_price,open_price,average_volume
LINKDOWN/USDT,last_price,open_price,average_volume
GBP/USDT,last_price,open_price,average_volume
DAI/USDT,last_price,open_price,average_volume
BNBUP/USDT,last_price,open_price,average_volume
BNBDOWN/USDT,last_price,open_price,average_volume
XTZUP/USDT,last_price,open_price,average_volume
XTZDOWN/USDT,last_price,open_price,average_volume
USDT/BKRW,last_price,open_price,average_volume
AUD/USDT,last_price,open_price,average_volume
IRIS/USDT,last_price,open_price,average_volume
SRM/USDT,last_price,open_price,average_volume
ANT/USDT,last_price,open_price,average_volume
OCEAN/USDT,last_price,open_price,average_volume
WNXM/USDT,last_price,open_price,average_volume
BZRX/USDT,last_price,open_price,average_volume
YFII/USDT,last_price,open_price,average_volume
EOSUP/USDT,last_price,open_price,average_volume
EOSDOWN/USDT,last_price,open_price,average_volume
TRXUP/USDT,last_price,open_price,average_volume
TRXDOWN/USDT,last_price,open_price,average_volume
XRPUP/USDT,last_price,open_price,average_volume
XRPDOWN/USDT,last_price,open_price,average_volume
DOTUP/USDT,last_price,open_price,average_volume
DOTDOWN/USDT,last_price,open_price,average_volume
USDT/NGN,last_price,open_price,average_volume
LTCUP/USDT,last_price,open_price,average_volume
LTCDOWN/USDT,last_price,open_price,average_volume
NBS/USDT,last_price,open_price,average_volume
HNT/USDT,last_price,open_price,average_volume
UNIUP/USDT,last_price,open_price,average_volume
UNIDOWN/USDT,last_price,open_price,average_volume
ORN/USDT,last_price,open_price,average_volume
SXPUP/USDT,last_price,open_price,average_volume
SXPDOWN/USDT,last_price,open_price,average_volume
FILUP/USDT,last_price,open_price,average_volume
FILDOWN/USDT,last_price,open_price,average_volume
YFIUP/USDT,last_price,open_price,average_volume
YFIDOWN/USDT,last_price,open_price,average_volume
BCHUP/USDT,last_price,open_price,average_volume
BCHDOWN/USDT,last_price,open_price,average_volume
DNT/USDT,last_price,open_price,average_volume
UNFI/USDT,last_price,open_price,average_volume
XEM/USDT,last_price,open_price,average_volume
AAVEUP/USDT,last_price,open_price,average_volume
AAVEDOWN/USDT,last_price,open_price,average_volume
SUSD/USDT,last_price,open_price,average_volume
SUSHIUP/USDT,last_price,open_price,average_volume
SUSHIDOWN/USDT,last_price,open_price,average_volume
XLMUP/USDT,last_price,open_price,average_volume
XLMDOWN/USDT,last_price,open_price,average_volume
USDT/BVND,last_price,open_price,average_volume
REEF/USDT,last_price,open_price,average_volume
BTCST/USDT,last_price,open_price,average_volume
RAMP/USDT,last_price,open_price,average_volume
EPS/USDT,last_price,open_price,average_volume
AUTO/USDT,last_price,open_price,average_volume
1INCHUP/USDT,last_price,open_price,average_volume
1INCHDOWN/USDT,last_price,open_price,average_volume
BTG/USDT,last_price,open_price,average_volume
MIR/USDT,last_price,open_price,average_volume
POLS/USDT,last_price,open_price,average_volume
MDX/USDT,last_price,open_price,average_volume
NU/USDT,last_price,open_price,average_volume
TORN/USDT,last_price,open_price,average_volume
KEEP/USDT,last_price,open_price,average_volume
KLAY/USDT,last_price,open_price,average_volume
BOND/USDT,last_price,open_price,average_volume
TVK/USDT,last_price,open_price,average_volume
FOR/USDT,last_price,open_price,average_volume
TRIBE/USDT,last_price,open_price,average_volume
POLY/USDT,last_price,open_price,average_volume
FRONT/USDT,last_price,open_price,average_volume
CVP/USDT,last_price,open_price,average_volume
RGT/USDT,last_price,open_price,average_volume
KP3R/USDT,last_price,open_price,average_volume
VGX/USDT,last_price,open_price,average_volume
PLA/USDT,last_price,open_price,average_volume
RNDR/USDT,last_price,open_price,average_volume
MC/USDT,last_price,open_price,average_volume
ANY/USDT,last_price,open_price,average_volume
OOKI/USDT,last_price,open_price,average_volume
UST/USDT,last_price,open_price,average_volume
ANC/USDT,last_price,open_price,average_volume
MULTI/USDT,last_price,open_price,average_volume
MOB/USDT,last_price,open_price,average_volume
GAL/USDT,last_price,open_price,average_volume
EPX/USDT,last_price,open_price,average_volume
NEBL/USDT,last_price,open_price,average_volume
AGIX/USDT,last_price,open_price,average_volume
BETH/USDT,last_price,open_price,average_volume
LOOM/USDT,last_price,open_price,average_volume
OAX/USDT,last_price,open_price,average_volume
GFT/USDT,last_price,open_price,average_volume
USDT/VAI,last_price,open_price,average_volume
CVC/USDT:USDT,last_price,open_price,quoteVolume,average_volume
BTCST/USDT:USDT,last_price,open_price,quoteVolume,average_volume
SC/USDT:USDT,last_price,open_price,quoteVolume,average_volume
RAY/USDT:USDT,last_price,open_price,quoteVolume,average_volume
FTT/USDT:USDT,last_price,open_price,quoteVolume,average_volume
